              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     250.278      17.830     -74.872      19.654
     259.393      17.552     -74.785      19.651
     268.498      17.268     -74.698      19.648
     277.604      16.977     -74.612      19.644
     286.710      16.691     -74.525      19.641
     295.816      16.410     -74.438      19.638
     304.924      16.122     -74.351      19.634
     314.031      15.829     -74.264      19.631
     323.138      15.540     -74.178      19.627
     332.246      15.256     -74.091      19.624
     341.355      14.965     -74.004      19.620
     350.463      14.669     -73.917      19.617
     -77.398      36.375     -77.999      19.814
     -68.287      36.123     -77.912      19.812
     -59.174      35.876     -77.825      19.811
     -50.062      35.633     -77.738      19.810
     -40.950      35.384     -77.651      19.808
     -31.838      35.129     -77.564      19.807
     -22.725      34.879     -77.477      19.805
     -13.623      34.633     -77.390      19.804
      -4.510      34.381     -77.303      19.802
       4.603      34.123     -77.216      19.801
      13.717      33.870     -77.129      19.799
      22.820      33.611     -77.042      19.797
      31.933      33.356     -76.955      19.795
      41.047      33.095     -76.868      19.793
      50.151      32.839     -76.781      19.792
      59.265      32.577     -76.694      19.789
      68.369      32.320     -76.607      19.788
      77.484      32.056     -76.520      19.785
      86.599      31.797     -76.433      19.783
      95.704      31.532     -76.346      19.781
     104.819      31.260     -76.259      19.779
     113.925      30.994     -76.173      19.777
     123.030      30.732     -76.086      19.774
     132.147      30.464     -75.999      19.772
     141.253      30.190     -75.912      19.769
     150.359      29.920     -75.825      19.767
     159.477      29.656     -75.738      19.764
     168.583      29.385     -75.651      19.762
     177.691      29.108     -75.564      19.759
     186.799      28.836     -75.477      19.756
     195.907      28.557     -75.390      19.753
     205.015      28.283     -75.303      19.751
     214.124      28.003     -75.216      19.748
     223.233      27.728     -75.130      19.745
     232.342      27.447     -75.043      19.742
     241.452      27.170     -74.956      19.739
     250.562      26.887     -74.869      19.736
     259.673      26.598     -74.782      19.733
     268.784      26.314     -74.695      19.729
     277.895      26.034     -74.608      19.726
     286.996      25.749     -74.521      19.723
     296.108      25.456     -74.434      19.719
     305.220      25.169     -74.348      19.716
     314.323      24.887     -74.261      19.713
     323.436      24.598     -74.174      19.709
     332.539      24.303     -74.087      19.706
     341.653      24.013     -74.000      19.702
     350.757      23.717     -73.913      19.698
     -77.152      45.428     -77.998      19.896
     -68.034      45.186     -77.910      19.894
     -58.927      44.939     -77.824      19.893
     -49.809      44.685     -77.736      19.892
     -40.702      44.436     -77.649      19.890
     -31.594      44.192     -77.562      19.889
     -22.477      43.942     -77.475      19.887
     -13.368      43.686     -77.388      19.886
      -4.260      43.434     -77.301      19.884
       4.858      43.176     -77.214      19.882
      13.967      42.923     -77.127      19.881
      23.076      42.675     -77.040      19.879
      32.195      42.409     -76.953      19.877
      41.305      42.159     -76.866      19.875
      50.414      41.893     -76.779      19.873
      59.523      41.630     -76.692      19.871
      68.633      41.373     -76.605      19.869
      77.743      41.110     -76.518      19.867
      86.864      40.851     -76.431      19.865
      95.974      40.586     -76.344      19.863
     105.085      40.314     -76.257      19.861
     114.196      40.059     -76.170      19.858
     123.307      39.787     -76.083      19.856
     132.419      39.519     -75.996      19.854
     141.520      39.245     -75.909      19.851
     150.633      38.975     -75.822      19.849
     159.745      38.711     -75.735      19.846
     168.857      38.440     -75.648      19.844
     177.971      38.163     -75.561      19.841
     187.074      37.891     -75.474      19.838
     196.187      37.613     -75.387      19.835
     205.301      37.339     -75.300      19.833
     214.405      37.059     -75.213      19.830
     223.520      36.784     -75.126      19.827
     232.625      36.503     -75.039      19.824
     241.740      36.216     -74.952      19.821
     250.845      35.944     -74.866      19.818
     259.961      35.655     -74.779      19.814
     269.068      35.371     -74.692      19.811
     278.174      35.092     -74.605      19.808
     287.292      34.806     -74.518      19.805
     296.399      34.514     -74.431      19.801
     305.506      34.227     -74.344      19.798
     314.614      33.945     -74.257      19.795
     323.723      33.645     -74.170      19.791
     332.832      33.362     -74.083      19.787
     341.941      33.072     -73.996      19.784
     351.051      32.776     -73.909      19.780
     -76.906      54.491     -77.996      19.977
     -67.793      54.239     -77.909      19.976
     -58.680      53.991     -77.822      19.975
     -49.567      53.749     -77.735      19.973
     -40.454      53.500     -77.648      19.972
     -31.341      53.245     -77.561      19.971
     -22.228      52.995     -77.474      19.969
     -13.113      52.749     -77.387      19.968
      -4.000      52.498     -77.299      19.966
       5.114      52.240     -77.212      19.964
      14.228      51.987     -77.125      19.963
      23.332      51.728     -77.038      19.961
      32.446      51.473     -76.951      19.959
      41.562      51.213     -76.864      19.957
      50.676      50.957     -76.777      19.955
      59.791      50.695     -76.690      19.953
      68.897      50.438     -76.603      19.951
      78.012      50.174     -76.516      19.949
      87.128      49.904     -76.429      19.947
      96.234      49.640     -76.342      19.945
     105.350      49.380     -76.255      19.942
     114.456      49.113     -76.168      19.940
     123.574      48.841     -76.080      19.938
     132.680      48.573     -75.993      19.935
     141.798      48.310     -75.906      19.933
