"Xkm" "Ykm" "Elev"
 348.500000 4875.50000 282.799988
 349.500000 4875.50000 324.899994
 350.500000 4875.50000 323.200012
 351.500000 4875.50000 385.799988
 352.500000 4875.50000 303.899994
 353.500000 4875.50000 259.700012
 354.500000 4875.50000 273.299988
 355.500000 4875.50000 291.000000
 356.500000 4875.50000 344.799988
 357.500000 4875.50000 270.600006
 338.500000 4876.50000 161.600006
 339.500000 4876.50000 167.600006
 340.500000 4876.50000 169.100006
 341.500000 4876.50000 154.600006
 342.500000 4876.50000 158.800003
 343.500000 4876.50000 181.300003
 344.500000 4876.50000 181.300003
 345.500000 4876.50000 183.300003
 346.500000 4876.50000 212.800003
 347.500000 4876.50000 242.800003
 348.500000 4876.50000 280.100006
 349.500000 4876.50000 309.799988
 350.500000 4876.50000 313.799988
 351.500000 4876.50000 324.700012
 352.500000 4876.50000 283.399994
 353.500000 4876.50000 318.200012
 354.500000 4876.50000 317.399994
 355.500000 4876.50000 287.799988
 356.500000 4876.50000 273.100006
 357.500000 4876.50000 246.800003
 338.500000 4877.50000 154.800003
 339.500000 4877.50000 156.300003
 340.500000 4877.50000 154.399994
 341.500000 4877.50000 154.000000
 342.500000 4877.50000 158.000000
 343.500000 4877.50000 186.199997
 344.500000 4877.50000 176.500000
 345.500000 4877.50000 183.699997
 346.500000 4877.50000 202.399994
 347.500000 4877.50000 225.500000
 348.500000 4877.50000 279.399994
 349.500000 4877.50000 322.200012
 350.500000 4877.50000 298.600006
 351.500000 4877.50000 258.299988
 352.500000 4877.50000 278.000000
 353.500000 4877.50000 325.100006
 354.500000 4877.50000 318.700012
 355.500000 4877.50000 262.299988
 356.500000 4877.50000 224.899994
 357.500000 4877.50000 203.100006
 338.500000 4878.50000 154.000000
 339.500000 4878.50000 154.000000
 340.500000 4878.50000 154.600006
 341.500000 4878.50000 157.000000
 342.500000 4878.50000 162.300003
 343.500000 4878.50000 201.100006
 344.500000 4878.50000 197.800003
 345.500000 4878.50000 195.399994
 346.500000 4878.50000 210.000000
 347.500000 4878.50000 234.399994
 348.500000 4878.50000 303.200012
 349.500000 4878.50000 325.299988
 350.500000 4878.50000 273.600006
 351.500000 4878.50000 243.699997
 352.500000 4878.50000 252.500000
 353.500000 4878.50000 331.500000
 354.500000 4878.50000 335.799988
 355.500000 4878.50000 256.399994
 356.500000 4878.50000 220.000000
 357.500000 4878.50000 190.899994
 338.500000 4879.50000 154.000000
 339.500000 4879.50000 164.100006
 340.500000 4879.50000 199.500000
 341.500000 4879.50000 184.199997
 342.500000 4879.50000 181.399994
 343.500000 4879.50000 196.399994
 344.500000 4879.50000 182.899994
 345.500000 4879.50000 183.600006
 346.500000 4879.50000 208.600006
 347.500000 4879.50000 223.199997
 348.500000 4879.50000 269.500000
 349.500000 4879.50000 304.100006
